algorithm,minrun,dataset_type,n,run_id,time_ms,comparisons,moves
TimSort,16,nearly_sorted,100000,1,3176,106756819,186786156
TimSort,32,nearly_sorted,100000,1,2442.18,89689567,146279045
TimSort,64,nearly_sorted,100000,1,1618.92,58472728,78477557
TimSort,128,nearly_sorted,100000,1,790.073,34178228,39754932
MergeSort,NA,nearly_sorted,100000,2,38.4706,1445395,1668928
TimSort,16,nearly_sorted,100000,2,4216.93,123835030,252071984
TimSort,32,nearly_sorted,100000,2,2803.43,90747122,153292294
TimSort,64,nearly_sorted,100000,2,1428.86,58557603,78512739
TimSort,128,nearly_sorted,100000,2,804.385,34204413,39763296
MergeSort,NA,nearly_sorted,100000,3,36.8259,1445182,1668928
TimSort,16,nearly_sorted,100000,3,4282.41,126006983,273876096
TimSort,32,nearly_sorted,100000,3,3014.57,89488854,148753232
TimSort,64,nearly_sorted,100000,3,1520.36,58187721,78510144
TimSort,128,nearly_sorted,100000,3,799.264,34245727,39767281
MergeSort,NA,nearly_sorted,100000,4,35.2753,1446890,1668928
TimSort,16,nearly_sorted,100000,4,4458.07,127639485,272780908
TimSort,32,nearly_sorted,100000,4,2652.83,92056535,153021225
TimSort,64,nearly_sorted,100000,4,1205.29,47117465,63545357
TimSort,128,nearly_sorted,100000,4,792.562,34337287,39761215
MergeSort,NA,nearly_sorted,500000,0,243.239,8351618,9475712
TimSort,16,nearly_sorted,500000,0,103664,3138951866,6871715052
TimSort,32,nearly_sorted,500000,0,59842.8,2241051931,3699250958
TimSort,64,nearly_sorted,500000,0,21960.8,1015899115,1170931266
TimSort,128,nearly_sorted,500000,0,17753.7,839631324,980059334
MergeSort,NA,nearly_sorted,500000,1,207.481,8349430,9475712
TimSort,16,nearly_sorted,500000,1,100207,3149118602,6854827162
TimSort,32,nearly_sorted,500000,1,64594.5,2250858807,3760646479
TimSort,64,nearly_sorted,500000,1,30693.8,1246638693,1711734862
TimSort,128,nearly_sorted,500000,1,18224.6,840655139,980070205
MergeSort,NA,nearly_sorted,500000,2,219.748,8346903,9475712
TimSort,16,nearly_sorted,500000,2,99881.7,3132827527,6866485510
TimSort,32,nearly_sorted,500000,2,60797.8,2252017863,3821844486
TimSort,64,nearly_sorted,500000,2,24414.5,1163633833,1338275285
TimSort,128,nearly_sorted,500000,2,17603.3,839172861,980058852
MergeSort,NA,nearly_sorted,500000,3,209.177,8341237,9475712
TimSort,16,nearly_sorted,500000,3,100430,3134667613,6885143488
TimSort,32,nearly_sorted,500000,3,61334.4,2259482015,3832179635
TimSort,64,nearly_sorted,500000,3,33893.4,1450117600,1954502506
TimSort,128,nearly_sorted,500000,3,18240.2,841472060,980058048
MergeSort,NA,nearly_sorted,500000,4,218.886,8348388,9475712
TimSort,16,nearly_sorted,500000,4,100007,3129549382,6883486671
TimSort,32,nearly_sorted,500000,4,61002.9,2252231988,3841011687
TimSort,64,nearly_sorted,500000,4,34138.2,1446082026,1953905026
TimSort,128,nearly_sorted,500000,4,18146.7,841315236,980058389
